particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,15.58401037794082,10,1.0,0.0,0.0,0.0,0.0
pi,93.88509820290906,13,1.0,0.0,0.0,0.0,0.0
pi,33.90913695801234,17,1.0,0.0,0.0,0.0,0.0
pi,67.26214005296293,16,1.0,0.0,0.0,0.0,0.0
pi,42.41837881168724,15,1.0,0.0,0.0,0.0,0.0
pi,36.56173933319167,14,1.0,0.0,0.0,0.0,0.0
pi,40.64818961170992,11,1.0,0.0,0.0,0.0,0.0
pi,41.02511186128741,21,1.0,0.0,0.0,0.0,0.0
pi,31.360527933381853,15,1.0,0.0,0.0,0.0,0.0
pi,44.37392143036137,19,1.0,0.0,0.0,0.0,0.0
pi,86.42764976672517,13,1.0,0.0,0.0,0.0,0.0
pi,56.72477623970232,17,1.0,0.0,0.0,0.0,0.0
pi,37.571006259089316,24,1.0,0.0,0.0,0.0,0.0
pi,67.2030387266016,20,1.0,0.0,0.0,0.0,0.0
pi,8.939373775988518,13,1.0,0.0,0.0,0.0,0.0
pi,86.5901891870134,16,1.0,0.0,0.0,0.0,0.0
pi,78.81734065345347,18,1.0,0.0,0.0,0.0,0.0
pi,39.00785883891748,20,1.0,0.0,0.0,0.0,0.0
pi,25.369917615984956,14,1.0,0.0,0.0,0.0,0.0
pi,89.84117247244262,14,1.0,0.0,0.0,0.0,0.0
pi,20.93432345247859,23,1.0,0.0,0.0,0.0,0.0
pi,68.79133539283589,11,1.0,0.0,0.0,0.0,0.0
pi,21.862496743680236,11,1.0,0.0,0.0,0.0,0.0
pi,86.964009588758,17,1.0,0.0,0.0,0.0,0.0
pi,74.2346308254303,16,1.0,0.0,0.0,0.0,0.0
pi,8.00612799808814,8,1.0,0.0,0.0,0.0,0.0
pi,45.47599786996206,17,1.0,0.0,0.0,0.0,0.0
pi,10.46368508451599,10,1.0,0.0,0.0,0.0,0.0
pi,50.46110108864138,20,1.0,0.0,0.0,0.0,0.0
pi,42.41136795013373,21,1.0,0.0,0.0,0.0,0.0
pi,41.854776651349866,13,1.0,0.0,0.0,0.0,0.0
pi,33.88999242501429,18,1.0,0.0,0.0,0.0,0.0
pi,99.6827558095228,21,1.0,0.0,0.0,0.0,0.0
pi,40.4067662623063,13,1.0,0.0,0.0,0.0,0.0
pi,13.031752821499305,16,1.0,0.0,0.0,0.0,0.0
pi,10.611471715928362,13,1.0,0.0,0.0,0.0,0.0
pi,88.16562324985662,17,1.0,0.0,0.0,0.0,0.0
pi,39.184105181390954,19,1.0,0.0,0.0,0.0,0.0
pi,68.87438503492436,15,1.0,0.0,0.0,0.0,0.0
pi,4.47590917707609,0,1.0,0.0,0.0,0.0,0.0
pi,12.088839867304031,14,1.0,0.0,0.0,0.0,0.0
